file_Size_bytes	number_of_files	bandwidth_Gbps	rtt_ms	buffer_size_bytes	p	cc	pp	fast	throughput_MByteps	time_sec	start_time_mm_dd_yyyy_hh_mm
209715259	69	10	39	49920000	8	32	8	0	319.691177812	43.1666710377	05:20:2016-18:17
209715259	69	10	39	49920000	8	32	8	1	350.741898791	39.3451821804	05:20:2016-18:17
209715259	69	10	39	49920000	8	32	16	0	276.790886415	49.8571469784	05:20:2016-18:18
209715259	69	10	39	49920000	8	32	16	1	311.327070835	44.3263859749	05:20:2016-18:19
209715259	69	10	39	49920000	8	32	32	0	223.877438709	61.640887022	05:20:2016-18:20
209715259	69	10	39	49920000	8	32	32	1	210.685426055	65.5005149841	05:20:2016-18:21
209715259	69	10	39	49920000	16	1	1	0	161.79806892	85.2915241718	05:20:2016-18:23
209715259	69	10	39	49920000	16	1	1	1	149.619021395	92.2342879772	05:20:2016-18:24
209715259	69	10	39	49920000	16	1	2	0	160.864462717	85.7865290642	05:20:2016-18:26
209715259	69	10	39	49920000	16	1	2	1	156.492586547	88.1831159592	05:20:2016-18:27
209715259	69	10	39	49920000	16	1	4	0	143.875650125	95.9161880016	05:20:2016-18:29
209715259	69	10	39	49920000	16	1	4	1	137.709668376	100.210857153	05:20:2016-18:30
209715259	69	10	39	49920000	16	1	8	0	149.985030973	92.0092079639	05:20:2016-18:32
